,College Names,Degress,Course,City,State,Rating for 5,Rank,Total Rank,Year of Rank,Fees in Ruppes,Average Package,Highest Package,Approved
53,K J Somaiya College of Science and Commerce,B.Sc,B.Sc Statistics, Mumbai, Maharashtra,4.1,44,277,2025,"₹ 49,105","11,35,000","58,00,000",UGC 
54,Bhaskaracharya College of Applied Sciences,B.Sc,B.Sc {Hons.} Biomedical Sciences, New Delhi, Delhi NCR,3.7,45,277,2025,"₹ 69,775",,,
55,Holy Cross College  (Autonomous),B.Sc,B.Sc Computer Science, Tiruchirappalli, Tamil Nadu,4.3,46,277,2025,,,,
56,Kamala Nehru College,B.Sc,B.Sc {Hons.} Mathematics, New Delhi, Delhi NCR,4,47,277,2025,"₹ 55,050",,"21,50,000",
57,Sophia College for Women,B.Sc,B.Sc, Mumbai, Maharashtra,4.2,48,277,2025,"₹ 47,340",,,AICTE 
58,Kalindi College,B.Sc,B.Sc {Hons.} Computer Science, New Delhi, Delhi NCR,3.7,49,277,2025,"₹ 1,21,575","10,00,000","24,00,000","AICTE, UGC "
59,Kristu Jayanti University,B.Sc,B.Sc Forensic Sciences, Bangalore, Karnataka,4.1,50,277,2025,"₹ 3,35,000",,,"AICTE, BCI, UGC, ACCA "
60,Deshbandhu College,B.Sc,B.Sc {Hons.} Mathematics, New Delhi, Delhi NCR,3.8,51,277,2025,"₹ 66,885","3,00,000","28,00,000",
61,Sacred Heart College,B.Sc,B.Sc + M.Sc Data Science, Ernakulam, Kerala,4.2,52,277,2025,"₹ 13,709","7,50,000","46,50,000",AICTE 
62,Shivaji College,B.Sc,B.Sc Physical Science with Chemistry, New Delhi, Delhi NCR,3.9,53,277,2025,"₹ 66,770","6,00,000","24,00,000",
63,PG Government College for Girls,B.Sc,B.Sc Medical, Chandigarh, Chandigarh,4.1,54,277,2025,"₹ 73,343",,,UGC 
64,Sri Guru Nanak Dev Khalsa College,B.Sc,B.Sc Mathematics, New Delhi, Delhi NCR,3.7,55,277,2025,"₹ 62,045",,,UGC 
65,Ethiraj College for Women,B.Sc,B.Sc Computer Science, Chennai, Tamil Nadu,4.1,56,277,2025,"₹ 2,56,986","4,00,000","10,00,000",UGC 
66,Motilal Nehru College,B.Sc,B.Sc {Hons.} Mathematics, New Delhi, Delhi NCR,3.9,57,277,2025,"₹ 52,735",,,
67,B.K Birla College Of Arts Science & Commerce,B.Sc,B.Sc Information Technology, Thane, Maharashtra,3.8,58,277,2025,"₹ 69,380",,,UGC 
68,Lady Irwin College,B.Sc,B.Sc {Hons.} Food Technology, New Delhi, Delhi NCR,4.2,59,277,2025,"₹ 1,41,925",,"5,71,000",UGC 
69,St Francis College for Women,B.Sc,B.Sc Computer Science, Hyderabad, Telangana,4.3,60,277,2025,"₹ 1,52,050",,"24,00,000",UGC 
70,Shyama Prasad Mukherji College For Women,B.Sc,B.Sc {Hons.} Computer Science, New Delhi, Delhi NCR,3.9,61,277,2025,"₹ 1,21,980",,,"NCTE, UGC "
71,St Xavier's College,B.Sc,B.Sc Biotechnology, Ahmedabad, Gujarat,4.1,62,277,2025,"₹ 2,38,500",,,UGC 
72,Institute of Home Economics,B.Sc,B.Sc Home Science, New Delhi, Delhi NCR,3.6,63,277,2025,"₹ 1,06,640",,,UGC 
73,Mehr Chand Mahajan Dayanand Anglo Vedic College for Women,B.Sc,B.Sc Medical, Chandigarh, Chandigarh,4,64,277,2025,"₹ 1,00,015",,"5,00,000",
74,Swami Shraddhanand College,B.Sc,B.Sc {Hons.} Microbiology, New Delhi, Delhi NCR,3.5,65,277,2025,"₹ 52,125",,,
75,Satyawati College,B.Sc,B.Sc {Hons.} Mathematics, New Delhi, Delhi NCR,3.7,66,277,2025,"₹ 48,035",,"25,00,000",UGC 
76,Ramakrishna Mission Vivekananda Centenary College Rahara,B.Sc,B.Sc {Hons.} Microbiology, Kolkata, West Bengal,3.9,67,277,2025,"₹ 51,000",,,
77,Zakir Husain Delhi College,B.Sc,B.Sc Life Sciences, New Delhi, Delhi NCR,3.8,68,277,2025,"₹ 77,580",,,
78,Post Graduate Government College for Girls,B.Sc,B.Sc Non-Medical, Chandigarh, Chandigarh,4,69,277,2025,"₹ 72,318",,,
79,Ramnarain Ruia Autonomous College,B.Sc,B.Sc Computer Science, Mumbai, Maharashtra,4,70,277,2025,"₹ 1,97,339",,,UGC 
80,Rajdhani College,B.Sc,B.Sc {Hons.} Physics, New Delhi, Delhi NCR,3.8,71,277,2025,"₹ 50,300","1,45,000","1,74,00,000","UGC, MHRD "
81,Vimala College,B.Sc,B.Sc Computer Science, Thrissur, Kerala,4.2,72,277,2025,"₹ 1,16,700",,,UGC 
82,Shyam Lal College,B.Sc,B.Sc Physical Sciences, New Delhi, Delhi NCR,3.7,73,277,2025,"₹ 90,000","4,20,288","7,50,000",UGC 
83,Anugrah Narayan College,B.Sc,B.Sc Biotechnology, Patna, Bihar,3.4,74,277,2025,"₹ 90,000",,,UGC 
84,PGDAV College (Evening),B.Sc,B.Sc {Hons.} Mathematics, New Delhi, Delhi NCR,3.8,75,277,2025,"₹ 51,785",,"8,00,000",
85,Patna Women's College,B.Sc,B.Sc Artificial Intelligence & Machine Learning, Patna, Bihar,4,76,277,2025,"₹ 2,18,790",,"5,00,000",UGC 
86,Lakshmibai College,B.Sc,B.Sc {Hons.} Mathematics, New Delhi, Delhi NCR,3.6,77,277,2025,"₹ 46,779","3,00,000","9,00,000",AICTE 
87,Ramaiah College of Arts,B.Sc,B.Sc Life Sciences, Bangalore, Karnataka,4,78,277,2025,"₹ 2,70,000","3,75,000","15,00,000","AICTE, UGC "
88,Maharaja Agrasen College,B.Sc,B.Sc Physical Sciences, New Delhi, Delhi NCR,3.9,80,277,2025,"₹ 64,360","7,00,000","30,00,000",
89,Chandigarh University,B.Sc,B.Sc Medical, Mohali, Punjab,4.4,81,277,2025,"₹ 3,40,500",,"54,75,000","NCTE, AICTE, COA, PCI, BCI "
90,Vivekananda College,B.Sc,B.Sc {Hons.} Mathematics, New Delhi, Delhi NCR,3.8,82,277,2025,"₹ 44,800",,,UGC 
91,SS Jain Subodh PG College,B.Sc,B.Sc Mathematics, Jaipur, Rajasthan,3.6,83,277,2025,"₹ 74,200",,,
92,Bharati College,B.Sc,B.Sc {Hons.} Mathematics, New Delhi, Delhi NCR,3.8,84,277,2025,"₹ 47,665",,,
93,Janki Devi Memorial College,B.Sc,B.Sc {Hons.} Mathematics, New Delhi, Delhi NCR,4,85,277,2025,"₹ 70,665",,"11,00,000",AICTE 
94,Sri Aurobindo College,B.Sc,B.Sc Life Sciences, New Delhi, Delhi NCR,3.7,86,277,2025,"₹ 48,318","3,00,000","8,00,000",UGC 
95,Isabella Thoburn Degree College,B.Sc,B.Sc Biology, Lucknow, Uttar Pradesh,3.8,87,277,2025,"₹ 1,00,000","3,50,000","8,00,000","AICTE, UGC "
96,Bhagini Nivedita College,B.Sc,B.Sc Physical Science with Chemistry, New Delhi, Delhi NCR,3.7,88,277,2025,"₹ 44,730","3,00,000","8,00,000",
97,St. Albert's College,B.Sc,B.Sc {Hons.} Computer Science, Ernakulam, Kerala,3.5,90,277,2025,"₹ 2,24,132",,,
98,PSG College of Arts and Science,B.Sc,B.Sc Computer Science, Coimbatore, Tamil Nadu,4.2,92,277,2025,"₹ 96,850",,"14,00,000",
99,St. Joseph's College,B.Sc,B.Sc Computer Science, Tiruchirappalli, Tamil Nadu,4.3,93,277,2025,"₹ 36,100",,,UGC 
100,Parul University,B.Sc,B.Sc Forensic Sciences, Vadodara, Gujarat,4.1,94,277,2025,"₹ 3,45,000","6,00,000","60,00,000","AICTE, COA, PCI, INC, CCH "
101,Sri Ramakrishna College of Arts and Science,B.Sc,B.Sc Computer Science, Coimbatore, Tamil Nadu,4.1,95,277,2025,"₹ 2,72,000","4,60,000","12,00,000",AICTE 
102,Kelkar Education Trust's V.G. Vaze College of Arts Science and Commerce,B.Sc,B.Sc Biotechnology, Mumbai, Maharashtra,4.1,96,277,2025,"₹ 1,21,148",,,UGC 
103,St Ann's College for Women,B.Sc,B.Sc Computer Science, Hyderabad, Telangana,4,97,277,2025,"₹ 21,780",,"13,00,000",AICTE 
104,Rathinam College of Arts and Science,B.Sc,B.Sc Data Science, Coimbatore, Tamil Nadu,4.2,98,277,2025,"₹ 3,00,000","5,00,000","58,00,000","AICTE, NBA, ACCA "
105,St Wilfred's PG College,B.Sc,B.Sc, Jaipur, Rajasthan,4,99,277,2025,"₹ 54,500",,,AICTE 
