,College Names,Degress,Course,City,State,Rating for 5,Rank,Total Rank,Year of Rank,Fees in Ruppes,Average Package,Highest Package,Approved
167,Deenbandhu Chhotu Ram University of Science and Technology,BE/B.Tech,B.Tech Computer Science and Engineering, Sonepat, Haryana,3.6,169,500,2025,"₹ 2,10,220",,"6,00,000","AICTE, UGC, NBA "
168,LJ University,BE/B.Tech,BE Computer Engineering, Ahmedabad, Gujarat,4,171,500,2025,"₹ 4,12,000","3,50,000","15,00,000","AICTE, BCI, UGC "
169,Cluster Innovation Centre,BE/B.Tech,B.Tech Information Technology & Mathematical Innovations, New Delhi, Delhi NCR,4.1,172,500,2025,"₹ 41,000",,,
170,Kalyani Government Engineering College,BE/B.Tech,B.Tech Computer Science and Engineering, Nadia, West Bengal,4,173,500,2025,"₹ 52,727","5,75,000","86,00,000",AICTE 
171,Dr. S. S. Bhatnagar University Institute of Chemical Engineering & Technology,BE/B.Tech,BE + MBA Chemical Engineering, Chandigarh, Chandigarh,3.8,174,500,2025,"₹ 5,97,525","4,20,000",,"AICTE, UGC "
172,Central University of Rajasthan,BE/B.Tech,B.Tech Computer Science and Engineering, Ajmer, Rajasthan,3.6,175,500,2025,"₹ 6,16,200","5,00,000","6,50,000",AICTE 
173,Sri Jayachamarajendra College of Engineering,BE/B.Tech,BE Computer Science And Engineering, Mysore, Karnataka,4.1,176,500,2025,"₹ 4,86,440",,"56,00,000","AICTE, NBA "
174,Maharaja Agrasen Institute of Technology,BE/B.Tech,B.Tech Computer Science and Engineering, New Delhi, Delhi NCR,3.8,177,500,2025,"₹ 7,20,000",,"1,30,00,000","AICTE, NBA "
175,Maharaja Surajmal Institute of Technology,BE/B.Tech,B.Tech Computer Science and Engineering, New Delhi, Delhi NCR,3.7,178,500,2025,"₹ 6,00,400","7,10,000","50,00,000","AICTE, NBA "
176,Maharishi Markandeshwar,BE/B.Tech,B.Tech Computer Science and Engineering, Ambala, Haryana,4,179,500,2025,"₹ 7,85,193","6,00,000","42,00,000","DCI, AICTE, PCI, INC, MCI "
177,Vallurupalli Nageswara Rao Vignana Jyothi Institute of Engineering and Technology,BE/B.Tech,B.Tech Computer Science and Engineering, Hyderabad, Telangana,4.2,180,500,2025,"₹ 5,40,000","7,17,000","54,00,000","AICTE, UGC, NBA "
178,P.U. Swami Sarvanand Giri Regional Centre,BE/B.Tech,BE Computer Science And Engineering, Hoshiarpur, Punjab,3.5,181,500,2025,"₹ 4,87,420",,,
179,VIT Bhopal University,BE/B.Tech,B.Tech Computer Science and Engineering, Bhopal, Madhya Pradesh,3.9,182,500,2025,"₹ 7,95,000","11,00,000","70,00,000","AICTE, COA, UGC, MHRD "
180,Walchand College of Engineering,BE/B.Tech,B.Tech Computer Science and Engineering, Sangli, Maharashtra,4.1,183,500,2025,"₹ 3,34,419","9,21,000","60,00,000","AICTE, NBA "
181,Saveetha Institute of Medical And Technical Sciences,BE/B.Tech,B.Tech Artificial Intelligence & Machine Learning, Chennai, Tamil Nadu,4.2,184,500,2025,"₹ 18,40,000","9,00,000","15,00,000","AICTE, UGC "
182,University Institute of Engineering and Technology,BE/B.Tech,B.Tech Computer Science and Engineering, Kurukshetra, Haryana,3.5,185,500,2025,"₹ 4,20,000","4,70,000","11,40,000",UGC 
183,Central University Of Jammu,BE/B.Tech,B.Tech Computer Science and Engineering, Jammu, Jammu and Kashmir,4,186,500,2025,"₹ 5,47,790","3,28,000","7,00,000","NCTE, AICTE, UGC "
184,Vishwakarma Institute of Technology,BE/B.Tech,B.Tech Computer Engineering, Pune, Maharashtra,4,188,500,2025,"₹ 8,44,757","7,50,000","45,00,000","AICTE, BCI, NBA, MHRD "
185,Swami Keshvanand Institute of Technology,BE/B.Tech,B.Tech Computer Science and Engineering, Jaipur, Rajasthan,3.8,189,500,2025,"₹ 4,67,916","5,00,000","29,00,000","AICTE, NBA "
186,JSS Science and Technology University,BE/B.Tech,BE Electronics & Communication Engineering, Mysore, Karnataka,4.2,190,500,2025,"₹ 12,04,400",,"60,00,000","AICTE, UGC, NBA "
187,Gayatri Vidya Parishad College of Engineering,BE/B.Tech,B.Tech Computer Science and Engineering, Visakhapatnam, Andhra Pradesh,3.9,191,500,2025,"₹ 4,20,000","8,00,000","24,00,000",AICTE 
188,Centurion University of Technology and Management,BE/B.Tech,B.Tech Computer Science and Engineering, Bhubaneswar, Odisha,3.8,192,500,2025,"₹ 7,87,500","4,65,000","16,00,000","AICTE, PCI, UGC "
189,University of Kalyani,BE/B.Tech,B.Tech Computer Science and Engineering, Kalyani, West Bengal,3.8,193,500,2025,"₹ 2,14,390",,,"AICTE, UGC, AIU "
190,C. V. Raman Global University,BE/B.Tech,B.Tech Computer Science and Engineering, Bhubaneswar, Odisha,3.9,194,500,2025,"₹ 11,60,000",,"16,50,000","AICTE, UGC, NBA "
191,Army Institute of Technology,BE/B.Tech,B.Tech Computer Engineering, Pune, Maharashtra,4.3,195,500,2025,"₹ 13,69,660","10,45,000","59,35,000",NBA 
192,University Visvesvaraya College of Engineering,BE/B.Tech,BE Computer Science And Engineering, Bangalore, Karnataka,3.8,196,500,2025,"₹ 1,98,330",,"28,50,000",AICTE 
193,J.C. Bose University Of Science And Technology,BE/B.Tech,B.Tech Computer Engineering, Faridabad, Haryana,3.7,198,500,2025,"₹ 4,12,782","6,54,000","47,00,000","AICTE, UGC, NBA "
194,Indian Institute of Handloom Technology,BE/B.Tech,B.Tech Handloom & Textile Technology, Salem, Tamil Nadu,4,199,500,2025,"₹ 85,980",,"3,60,000",AICTE 
195,Jawaharlal Nehru Technological University,BE/B.Tech,B.Tech Computer Science and Engineering, Kakinada, Andhra Pradesh,3.8,200,500,2025,"₹ 3,50,000",,,UGC 
196,GIET University,BE/B.Tech,B.Tech Computer Science and Engineering, Gunupur, Odisha,3.7,201,500,2025,"₹ 7,92,000","4,87,000","19,50,000","AICTE, INC, ICAR, UGC, NBA "
197,Dayananda Sagar College of Engineering,BE/B.Tech,BE Computer Science And Engineering, Bangalore, Karnataka,4,202,500,2025,"₹ 12,04,400",,"56,00,000","AICTE, UGC, NBA "
198,Dharmsinh Desai University,BE/B.Tech,B.Tech Computer Engineering, Nadiad, Gujarat,3.5,205,500,2025,"₹ 7,40,000","4,00,000","21,00,000","AICTE, UGC, NBA "
199,GB Pant Delhi Skill and Entrepreneurship University,BE/B.Tech,B.Tech Computer Science and Engineering, New Delhi, Delhi NCR,,206,500,2025,"₹ 5,84,750","2,50,000","11,50,000",UGC 
200,Institute of Engineering and Technology,BE/B.Tech,B.Tech Computer Science and Engineering, Lucknow, Uttar Pradesh,3.8,207,500,2025,"₹ 4,04,100","8,20,000","49,00,000","AICTE, UGC "
201,Odisha University of Technology and Research,BE/B.Tech,B.Tech Computer Science and Engineering, Bhubaneswar, Odisha,3.9,208,500,2025,"₹ 3,24,880","6,70,000","42,00,000","UGC, NBA "
202,Government College of Engineering and Ceramic Technology,BE/B.Tech,B.Tech Computer Science and Engineering, Kolkata, West Bengal,4.1,209,500,2025,"₹ 17,801","3,00,000","7,50,000","AICTE, NBA "
203,Banasthali Vidyapith,BE/B.Tech,B.Tech Computer Science and Engineering, Jaipur, Rajasthan,4.2,210,500,2025,"₹ 7,68,500","3,60,000","5,20,000",UGC 
204,JSS Academy of Technical Education,BE/B.Tech,BE Computer Science And Engineering, Bangalore, Karnataka,3.8,211,500,2025,"₹ 5,09,740","10,00,000","45,00,000","AICTE, NBA "
205,PES Institute of Technology and Management,BE/B.Tech,B.Tech Computer Science and Engineering, Bangalore, Karnataka,3.7,212,500,2025,"₹ 4,17,060",,"12,00,000","AICTE, NBA "
