,College Names,Degress,Course,City,State,Rating for 5,Rank,Total Rank,Year of Rank,Fees in Ruppes,Average Package,Highest Package,Approved
208,Vels Institute of Science,BA,BA English, Chennai, Tamil Nadu,3.9,205,255,2025,"₹ 1,80,000","4,50,000","12,00,000","NCTE, AICTE, PCI, BCI, UGC "
209,Sri G.V.G Visalakshi College for Women,BA,BA English Literature, Udumalaipettai, Tamil Nadu,4.7,206,255,2025,"₹ 51,000",,,
210,National School of Journalism & Public Discourse,BA,BA {Hons.} English, Bangalore, Karnataka,4.4,207,255,2025,"₹ 6,68,168",,,
211,Furkating College,BA,Certification, Golaghat, Assam,,208,255,2025,"₹ 16,020",,,"AICTE, UGC "
212,St.Wilfred’s College of Arts,BA,BA, Panvel, Maharashtra,,209,255,2025,"₹ 69,300",,,
213,ICFAI University,BA,BA {Hons.} English, West Tripura, Tripura,4,210,255,2025,"₹ 2,38,000","7,00,000","10,00,000","NCTE, AICTE, RCI, BCI, UGC "
214,Km Mayawati Government Girls PG College,BA,BA History, Gautam Budh Nagar, Uttar Pradesh,,211,255,2025,"₹ 7,005",,,UGC 
215,ROOTS Collegium,BA,BA {Hons.} Interior Design, Hyderabad, Telangana,4.2,212,255,2025,"₹ 14,520",,,
216,Theivanai Ammal Women,BA,BA English, Viluppuram, Tamil Nadu,3.8,213,255,2025,"₹ 1,22,700","5,00,000","8,36,000",
217,Sri Kanyaka Parameswari Arts and Science College for Women,BA,BA English, Chennai, Tamil Nadu,4.5,214,255,2025,"₹ 83,250",,,
218,Annai Violet Arts and Science College,BA,BA Economics, Chennai, Tamil Nadu,3.7,215,255,2025,"₹ 90,000",,,AICTE 
219,Dhakuakhana College,BA,BA Assamese, Lakhimpur, Assam,3.7,216,255,2025,"₹ 8,160",,,UGC 
220,Digboi College,BA,BA, Dibrugarh, Assam,3.9,217,255,2025,"₹ 13,270",,,UGC 
221,Vellalar College for Women,BA,BA English Literature, Erode, Tamil Nadu,4.1,218,255,2025,"₹ 3,058",,,"AICTE, UGC "
222,Sonapur College,BA,BA, Guwahati, Assam,4.4,219,255,2025,"₹ 22,250",,,UGC 
223,Shri. Chetan Manju Desai College,BA,BA Geography, Cancona, Goa,,220,255,2025,"₹ 23,815",,,
224,Nagindas  Khandwala College,BA,BA, Mumbai, Maharashtra,3.9,221,255,2025,"₹ 94,756",,"11,00,000","AICTE, UGC "
225,Fr. Agnel College of Arts and Commerce,BA,BA, North Goa, Goa,,222,255,2025,"₹ 17,000",,,UGC 
226,Umiya Arts and Commerce College for Girls,BA,BA Psychology, Ahmedabad, Gujarat,4.2,223,255,2025,"₹ 3,600",,,
227,Government College (Autonomous),BA,"BA Economics, History, Political Science", Anantapur, Andhra Pradesh,4,224,255,2025,"₹ 17,020",,,"AICTE, UGC, MHRD "
228,St. Claret College,BA,BA Journalism, Bangalore, Karnataka,4.2,225,255,2025,"₹ 2,18,000","5,50,000","12,00,000","AICTE, UGC "
229,Bhairab Ganguly College,BA,BA {Hons.} English, Kolkata, West Bengal,3.9,226,255,2025,"₹ 26,345",,,
230,Government College (Autonomous),BA,BA Economics, Rajahmundhry, Andhra Pradesh,4.4,227,255,2025,"₹ 9,645",,,
231,RVS College of Arts and Science,BA,BA English Literature, Coimbatore, Tamil Nadu,4,228,255,2025,"₹ 31,500","2,50,000","10,00,000","AICTE, UGC "
232,NEF College,BA,BA English, Guwahati, Assam,2.5,229,255,2025,"₹ 1,55,000",,,
