,College Names,Degress,Course,City,State,Rating for 5,Rank,Total Rank,Year of Rank,Fees in Ruppes,Average Package,Highest Package,Approved
94,MIT World Peace University,BCA,BCA {Hons.} Data Science, Pune, Maharashtra,3.9,93,251,2025,"₹ 8,00,000","7,00,000","51,36,000","PCI, BCI, UGC "
95,Parul University,BCA,BCA Artificial Intelligence, Vadodara, Gujarat,4.1,94,251,2025,"₹ 4,35,000","6,00,000","60,00,000","AICTE, COA, PCI, INC, CCH "
96,Institute of Information Technology & Management,BCA,BCA, New Delhi, Delhi NCR,3.9,95,251,2025,"₹ 4,19,400","4,88,000","12,80,000",
97,Sharda University,BCA,BCA, Greater Noida, Uttar Pradesh,4,96,251,2025,"₹ 6,69,317",,"1,70,00,000","NCTE, DCI, COA, PCI, INC "
98,Sri Krishna Arts and Science College,BCA,BCA, Coimbatore, Tamil Nadu,4.2,97,251,2025,"₹ 10,50,000","3,60,000","16,00,000",UGC 
99,BBK DAV College for Women,BCA,BCA, Amritsar, Punjab,4.1,98,251,2025,"₹ 3,18,825",,,UGC 
100,Post Graduate Government College for Girls,BCA,BCA, Chandigarh, Chandigarh,4,99,251,2025,"₹ 1,55,520",,,
101,Vivekananda Institute of Professional Studies,BCA,BCA, New Delhi, Delhi NCR,4.2,100,251,2025,"₹ 5,58,800",,"8,00,000","AICTE, BCI "
102,Bishop Heber College,BCA,BCA, Tiruchirappalli, Tamil Nadu,4.2,101,251,2025,"₹ 1,50,330","12,00,000","35,00,000","AICTE, UGC "
103,REVA University,BCA,BCA, Bangalore, Karnataka,4.2,102,251,2025,"₹ 6,75,000",,"45,50,000","AICTE, COA, BCI, UGC "
104,University of Engineering and Management,BCA,BCA {Hons.}, Jaipur, Rajasthan,4.2,103,251,2025,"₹ 3,84,000","6,00,000","72,00,000","AICTE, UGC, AIU "
105,Presidency University,BCA,BCA, Bangalore, Karnataka,3.8,104,251,2025,"₹ 3,45,000","5,98,000","16,42,000","AICTE, BCI, UGC "
106,KES Shroff College of Arts and Commerce,BCA,BCA, Mumbai, Maharashtra,3.9,105,251,2025,"₹ 1,80,390","2,50,000","4,80,000","AICTE, UGC "
107,Hans Raj Mahila Maha Vidyalaya,BCA,BCA, Jalandhar, Punjab,4,106,251,2025,"₹ 1,44,000",,,UGC 
108,Guru Gobind Singh Indraprastha University,BCA,BCA, New Delhi, Delhi NCR,3.8,107,251,2025,"₹ 1,82,175","12,00,000","45,00,000","AICTE, UGC "
109,Jyoti Nivas College Autonomous,BCA,BCA Data Science, Bangalore, Karnataka,4,108,251,2025,"₹ 4,52,175","4,00,000","7,00,000","AICTE, UGC "
110,Amity University,BCA,BCA {Hons.}, Jaipur, Rajasthan,4.1,109,251,2025,"₹ 7,04,000","4,84,000","52,76,000","AICTE, RCI, COA, BCI, UGC "
111,DAV College,BCA,BCA, Abohar, Punjab,4.1,111,251,2025,"₹ 1,60,299","1,00,000","2,80,000",UGC 
