,College Names,Degress,Course,City,State,Rating for 5,Rank,Total Rank,Year of Rank,Fees in Ruppes,Average Package,Highest Package,Approved
155,JNTUK University College of Engineering,M.Tech,M.Tech Soil Mechanics and Foundation Engineering, East Godavari, Andhra Pradesh,4,163,500,2025,"₹ 60,000",,"67,00,000",
156,Galgotias University,M.Tech,M.Tech Cad/ Cam, Greater Noida, Uttar Pradesh,3.8,165,500,2025,"₹ 1,97,000","5,40,000","60,00,000","NCTE, AICTE, COA, PCI, INC "
157,Institute of Engineering and Technology,M.Tech,ME Computer Science And Engineering, Indore, Madhya Pradesh,3.8,167,500,2025,"₹ 1,47,666","7,00,000","1,13,00,000",AICTE 
158,Sant Longowal Institute of Engineering and Technology,M.Tech,M.Tech Manufacturing Systems Engineering, Sangrur, Punjab,3.8,168,500,2025,"₹ 1,07,000","11,07,000","27,00,000","AICTE, MHRD "
159,Deenbandhu Chhotu Ram University of Science and Technology,M.Tech,M.Tech Computer Science And Engineering, Sonepat, Haryana,3.6,169,500,2025,"₹ 1,31,110",,"6,00,000","AICTE, UGC, NBA "
160,LJ University,M.Tech,ME Software Engineering, Ahmedabad, Gujarat,4,171,500,2025,"₹ 2,06,000","3,50,000","15,00,000","AICTE, BCI, UGC "
161,Kalyani Government Engineering College,M.Tech,M.Tech Computer Science And Engineering, Nadia, West Bengal,4,173,500,2025,"₹ 24,091","5,75,000","86,00,000",AICTE 
162,Dr. S. S. Bhatnagar University Institute of Chemical Engineering & Technology,M.Tech,ME Chemical Engineering, Chandigarh, Chandigarh,3.8,174,500,2025,"₹ 64,830","4,20,000",,"AICTE, UGC "
163,Central University of Rajasthan,M.Tech,M.Tech Computer Science And Engineering, Ajmer, Rajasthan,3.6,175,500,2025,"₹ 80,100","5,00,000","6,50,000",AICTE 
164,Sri Jayachamarajendra College of Engineering,M.Tech,M.Tech Computer Engineering, Mysore, Karnataka,4.1,176,500,2025,"₹ 1,36,940",,"56,00,000","AICTE, NBA "
165,Maharishi Markandeshwar,M.Tech,M.Tech Computer Science And Engineering, Ambala, Haryana,4,179,500,2025,"₹ 3,07,550","6,00,000","42,00,000","DCI, AICTE, PCI, INC, MCI "
166,Vallurupalli Nageswara Rao Vignana Jyothi Institute of Engineering and Technology,M.Tech,M.Tech Computer Science And Engineering, Hyderabad, Telangana,4.2,180,500,2025,"₹ 2,60,000","7,17,000","54,00,000","AICTE, UGC, NBA "
167,VIT Bhopal University,M.Tech,M.Tech Artificial Intelligence & Data Science, Bhopal, Madhya Pradesh,3.9,182,500,2025,"₹ 3,83,000","11,00,000","70,00,000","AICTE, COA, UGC, MHRD "
168,Walchand College of Engineering,M.Tech,M.Tech Civil Engineering, Sangli, Maharashtra,4.1,183,500,2025,"₹ 2,11,797","9,21,000","60,00,000","AICTE, NBA "
169,Saveetha Institute of Medical And Technical Sciences,M.Tech,ME Computer Science And Engineering, Chennai, Tamil Nadu,4.2,184,500,2025,"₹ 1,20,000","9,00,000","15,00,000","AICTE, UGC "
170,University Institute of Engineering and Technology,M.Tech,M.Tech Defence Technology, Kurukshetra, Haryana,3.5,185,500,2025,"₹ 1,48,820","4,70,000","11,40,000",UGC 
171,Central University Of Jammu,M.Tech,M.Tech Computer Science & Technology, Jammu, Jammu and Kashmir,4,186,500,2025,"₹ 53,360","3,28,000","7,00,000","NCTE, AICTE, UGC "
172,Vishwakarma Institute of Technology,M.Tech,M.Tech Computer Engineering, Pune, Maharashtra,4,188,500,2025,"₹ 1,85,016","7,50,000","45,00,000","AICTE, BCI, NBA, MHRD "
173,Swami Keshvanand Institute of Technology,M.Tech,M.Tech Renewable Energy, Jaipur, Rajasthan,3.8,189,500,2025,"₹ 2,35,708","5,00,000","29,00,000","AICTE, NBA "
174,JSS Science and Technology University,M.Tech,M.Tech Biotechnology, Mysore, Karnataka,4.2,190,500,2025,"₹ 1,38,600",,"60,00,000","AICTE, UGC, NBA "
175,Gayatri Vidya Parishad College of Engineering,M.Tech,M.Tech Structural Engineering, Visakhapatnam, Andhra Pradesh,3.9,191,500,2025,"₹ 1,14,200","8,00,000","24,00,000",AICTE 
176,Centurion University of Technology and Management,M.Tech,M.Tech Data Science, Bhubaneswar, Odisha,3.8,192,500,2025,"₹ 2,12,500","4,65,000","16,00,000","AICTE, PCI, UGC "
177,University of Kalyani,M.Tech,M.Tech Computer Science And Engineering, Kalyani, West Bengal,3.8,193,500,2025,"₹ 85,970",,,"AICTE, UGC, AIU "
178,C. V. Raman Global University,M.Tech,M.Tech Computer Science And Engineering, Bhubaneswar, Odisha,3.9,194,500,2025,"₹ 2,54,000",,"16,50,000","AICTE, UGC, NBA "
179,Army Institute of Technology,M.Tech,M.Tech Data Science, Pune, Maharashtra,4.3,195,500,2025,"₹ 2,13,185","10,45,000","59,35,000",NBA 
180,University Visvesvaraya College of Engineering,M.Tech,M.Tech Computer Science And Engineering, Bangalore, Karnataka,3.8,196,500,2025,"₹ 1,50,910",,"28,50,000",AICTE 
181,J.C. Bose University Of Science And Technology,M.Tech,M.Tech Electronics And Communication Engineering, Faridabad, Haryana,3.7,198,500,2025,"₹ 1,90,659","6,54,000","47,00,000","AICTE, UGC, NBA "
182,Jawaharlal Nehru Technological University,M.Tech,M.Tech Vlsi Design & Embedded System, Kakinada, Andhra Pradesh,3.8,200,500,2025,"₹ 60,000",,,UGC 
183,GIET University,M.Tech,M.Tech Computer Science And Engineering, Gunupur, Odisha,3.7,201,500,2025,"₹ 1,40,000","4,87,000","19,50,000","AICTE, INC, ICAR, UGC, NBA "
184,Dayananda Sagar College of Engineering,M.Tech,M.Tech Computer Science And Engineering, Bangalore, Karnataka,4,202,500,2025,"₹ 1,61,720",,"56,00,000","AICTE, UGC, NBA "
185,Abhilashi University,M.Tech,M.Tech Civil Engineering, Mandi, Himachal Pradesh,4.1,204,500,2025,"₹ 2,07,000","1,79,390","4,00,000","NCTE, AICTE, PCI, CCIM, UGC "
186,Dharmsinh Desai University,M.Tech,M.Tech Chemical Engineering, Nadiad, Gujarat,3.5,205,500,2025,"₹ 1,10,250","4,00,000","21,00,000","AICTE, UGC, NBA "
187,GB Pant Delhi Skill and Entrepreneurship University,M.Tech,M.Tech Tool Engineering, New Delhi, Delhi NCR,,206,500,2025,"₹ 2,15,200","2,50,000","11,50,000",UGC 
188,Institute of Engineering and Technology,M.Tech,M.Tech Artificial Intelligence & Data Science, Lucknow, Uttar Pradesh,3.8,207,500,2025,"₹ 1,41,400","8,20,000","49,00,000","AICTE, UGC "
189,Odisha University of Technology and Research,M.Tech,M.Tech Computer Science And Engineering, Bhubaneswar, Odisha,3.9,208,500,2025,"₹ 1,62,440","6,70,000","42,00,000","UGC, NBA "
190,Government College of Engineering and Ceramic Technology,M.Tech,M.Tech Information Technology, Kolkata, West Bengal,4.1,209,500,2025,"₹ 50,401","3,00,000","7,50,000","AICTE, NBA "
191,Banasthali Vidyapith,M.Tech,M.Tech Biotechnology, Jaipur, Rajasthan,4.2,210,500,2025,"₹ 2,48,000","3,60,000","5,20,000",UGC 
192,JSS Academy of Technical Education,M.Tech,M.Tech Thermal Power Engineering, Bangalore, Karnataka,3.8,211,500,2025,"₹ 1,50,910","10,00,000","45,00,000","AICTE, NBA "
193,MKSSS's Cummins College of Engineering for Women,M.Tech,ME Electronics & Telecommunication Engineering, Pune, Maharashtra,4.1,213,500,2025,"₹ 2,39,387","17,00,000","36,00,000","AICTE, NBA "
194,Gurugram University,M.Tech,M.Tech Computer Science And Engineering, Gurgaon, Haryana,4,214,500,2025,"₹ 1,26,000","3,50,000","18,00,000","AICTE, BCI, UGC "
195,Arni University,M.Tech,M.Tech Computer Science And Engineering, Kangra, Himachal Pradesh,4.1,215,500,2025,"₹ 80,000",,,"AICTE, PCI, BCI, UGC, AIU "
196,NorthEastern Hill University,M.Tech,M.Tech Electronics And Communication Engineering, Shillong, Meghalaya,3.7,217,500,2025,"₹ 59,720","4,00,000","7,00,000",UGC 
197,University College of Engineering,M.Tech,M.Tech Computer Science And Engineering, Vizianagaram, Andhra Pradesh,3.7,219,500,2025,"₹ 1,11,800",,,"AICTE, UGC, MHRD "
198,Veer Surendra Sai University of Technology,M.Tech,M.Tech Computer Science And Engineering, Burla, Odisha,4,220,500,2025,"₹ 1,01,120","6,17,000","24,00,000","AICTE, COA, UGC "
199,Institute of Engineering and Management,M.Tech,M.Tech Electronics And Communication Engineering, Kolkata, West Bengal,4,221,500,2025,"₹ 3,02,000","7,50,000","32,00,000","AICTE, NBA "
200,Faculty of Technology,M.Tech,M.Tech Electronics And Communication Engineering, Nadiad, Gujarat,3.5,223,500,2025,"₹ 1,10,250",,"21,00,000","AICTE, UGC, NBA "
201,KLE Technological University,M.Tech,M.Tech Design Engineering, Hubli, Karnataka,4.2,224,500,2025,"₹ 1,38,600","5,30,000","46,38,000","AICTE, UGC "
202,Guru Nanak Dev University,M.Tech,M.Tech Computer Science And Engineering, Amritsar, Punjab,3.8,226,500,2025,"₹ 2,00,120","6,37,000","44,00,000",UGC 
203,University Institute of Engineering and Technology,M.Tech,M.Tech Mechanical Engineering, Rohtak, Haryana,3.7,227,500,2025,"₹ 1,36,000",,,AICTE 
204,Kamla Nehru Institute of Technology,M.Tech,M.Tech Civil Engineering, Sultanpur, Uttar Pradesh,4,228,500,2025,"₹ 1,28,000","8,30,000","45,00,000","AICTE, UGC, NBA "
205,Indian Institute of Food Processing Technology,M.Tech,M.Tech Food Process Engineering, Thanjavur, Tamil Nadu,4.1,229,500,2025,"₹ 2,60,380",,,AICTE 
206,Central University of Haryana,M.Tech,M.Tech Computer Science And Engineering, Mahendragarh, Haryana,3.7,230,500,2025,"₹ 79,258",,,UGC 
207,Sri Venkateswara University College of Engineering,M.Tech,M.Tech Computer Science And Engineering, Tirupati, Andhra Pradesh,4,233,500,2025,"₹ 81,980","6,23,000","18,00,000","AICTE, NBA "
208,DRIEMS University,M.Tech,M.Tech Computer Science And Engineering, Cuttack, Odisha,4,234,500,2025,"₹ 1,50,000","4,00,000","16,00,000","UGC, NBA "
209,Heritage Institute of Technology,M.Tech,M.Tech Computer Science And Engineering, Kolkata, West Bengal,4.2,235,500,2025,,"4,62,100","1,13,00,000","AICTE, NBA "
210,Arka Jain University,M.Tech,M.Tech Electric Vehicular Technology, Jamshedpur, Jharkhand,4,236,500,2025,"₹ 2,12,000","3,20,000","23,00,000","AICTE, PCI, INC, BCI, UGC "
211,Madras Institute of Technology,M.Tech,ME Mechatronics, Chennai, Tamil Nadu,4.1,237,500,2025,"₹ 96,660","6,93,000","36,50,000","AICTE, NBA "
212,Jalpaiguri Government Engineering College,M.Tech,M.Tech Mechanical Engineering, Jalpaiguri, West Bengal,4,238,500,2025,"₹ 91,810","10,50,000","54,00,000","AICTE, UGC, NBA "
213,UNIRAJ University of Rajasthan,M.Tech,M.Tech Converging Technology, Jaipur, Rajasthan,3.8,240,500,2025,"₹ 1,95,960",,,UGC 
214,L.D. College of Engineering,M.Tech,M.Tech Computer Science & Technology, Ahmedabad, Gujarat,4.2,241,500,2025,"₹ 7,750","4,50,000","19,00,000","AICTE, NBA "
215,Bangalore Institute of Technology,M.Tech,M.Tech Structural Engineering, Bangalore, Karnataka,3.8,242,500,2025,"₹ 1,50,910","10,00,000","58,00,000","AICTE, NBA "
216,Pimpri Chinchwad College of Engineering,M.Tech,M.Tech Computer Engineering, Pune, Maharashtra,4,243,500,2025,"₹ 3,41,560","9,54,000","14,00,000","AICTE, NBA "
217,Shri Vishnu Engineering College for Women,M.Tech,M.Tech Computer Science And Engineering, Bhimavaram, Andhra Pradesh,4.3,244,500,2025,"₹ 1,11,600","9,54,000","46,00,000","AICTE, NBA "
218,Indira Gandhi Institute of Technology,M.Tech,M.Tech Computer Science And Engineering, Dhenkanal, Odisha,4,245,500,2025,"₹ 62,800","3,00,000","11,88,000",AICTE 
219,Government College of Engineering and Leather Technology,M.Tech,M.Tech Leather Technology, Saltlake, West Bengal,3.7,246,500,2025,"₹ 57,550","5,70,000","14,00,000",AICTE 
220,Amity University,M.Tech,M.Tech Computer Science And Engineering, Jaipur, Rajasthan,4.1,247,500,2025,"₹ 2,96,000","4,84,000","52,76,000","AICTE, RCI, COA, BCI, UGC "
221,Pandit Deendayal Energy University,M.Tech,M.Tech Energy System Engineering, Gandhinagar, Gujarat,4.2,248,500,2025,"₹ 3,46,000","7,50,000","42,00,000","UGC, NBA "
222,Bundelkhand Institute of Engineering & Technology,M.Tech,M.Tech Construction Technology, Jhansi, Uttar Pradesh,3.6,249,500,2025,"₹ 1,31,800","5,35,000","17,00,000","AICTE, UGC, NBA "
223,Sardar Patel College of Engineering,M.Tech,M.Tech Civil Engineering [Structural Engg], Mumbai, Maharashtra,4,251,500,2025,"₹ 1,43,000","6,00,000","27,00,000","AICTE, UGC, NBA "
224,Institute of Infrastructure Technology Research and Management,M.Tech,M.Tech Electrical Infrastructure, Ahmedabad, Gujarat,3.9,252,500,2025,"₹ 1,46,000",,,UGC 
225,CGC University,M.Tech,M.Tech Computer Science And Engineering, Mohali, Punjab,4.1,253,500,2025,"₹ 2,40,000","10,00,000","1,00,00,000",NBA 
226,Vishnu Institute of Technology,M.Tech,M.Tech Computer Science And Engineering, Bhimavaram, Andhra Pradesh,4.1,256,500,2025,"₹ 1,44,400","4,28,000","44,00,000","AICTE, UGC, NBA "
227,Kalasalingam Academy of Research and Education,M.Tech,M.Tech Environmental Engineering, Krishnankovil, Tamil Nadu,3.5,257,500,2025,"₹ 1,74,000","4,50,000","50,00,000","BCI, UGC, NBA "
228,The National Institute of Engineering,M.Tech,M.Tech Computer Applications In Industrial Drives, Mysore, Karnataka,4,258,500,2025,"₹ 2,02,900","10,50,000","70,00,000","AICTE, UGC "
229,Sir Padampat Singhania University,M.Tech,M.Tech Civil Engineering, Udaipur, Rajasthan,3.8,260,500,2025,"₹ 3,15,000","6,00,000","13,70,000","UGC, AIU "
230,BMS Institute of Technology and Management,M.Tech,M.Tech Computer Science And Engineering, Bangalore, Karnataka,4,261,500,2025,"₹ 2,50,000","8,07,000","46,40,000","AICTE, UGC, NBA "
231,Vishwakarma Institute of Information Technology,M.Tech,M.Tech Computer Engineering, Pune, Maharashtra,4,262,500,2025,"₹ 1,86,957","7,70,000","33,00,000",NBA 
232,Vishwakarma Government Engineering College,M.Tech,ME Chemical Engineering, Ahmedabad, Gujarat,4,264,500,2025,"₹ 15,000",,"23,00,000",AICTE 
233,RVR and JC College of Engineering,M.Tech,M.Tech Artificial Intelligence & Data Science, Guntur, Andhra Pradesh,4.1,265,500,2025,,"4,70,000","46,38,000",AICTE 
234,Government College of Engineering & Textile Technology,M.Tech,M.Tech Mechanical Processing of Textiles, Serampore, West Bengal,3.8,267,500,2025,"₹ 40,400","4,20,000","12,50,000",AICTE 
235,Vivekanand Education Society Institute of Technology,M.Tech,ME Information Technology, Mumbai, Maharashtra,4,269,500,2025,"₹ 1,20,000",,"14,00,000","AICTE, NBA "
236,Faculty of Technology and Engineering,M.Tech,ME Structural Engineering, Vadodara, Gujarat,4.1,270,500,2025,"₹ 1,86,000","7,00,000","11,00,000",AICTE 
237,Anil Neerukonda Institute of Technology & Sciences,M.Tech,M.Tech Artificial Intelligence and Machine Learning, Visakhapatnam, Andhra Pradesh,3.9,271,500,2025,"₹ 1,00,000","4,44,000","12,00,000","AICTE, UGC, NBA "
238,JSS Academy of Technical Education,M.Tech,M.Tech Artificial Intelligence, Noida, Uttar Pradesh,3.7,272,500,2025,"₹ 2,31,700","6,50,000","57,00,000","AICTE, PCI, NBA "
239,Bidhan Chandra Krishi Viswavidyalaya,M.Tech,M.Tech Farm Machinery And Power Engineering, Mohanpur, West Bengal,4,273,500,2025,"₹ 24,440",,,ICAR 
240,Ajay Kumar Garg Engineering College,M.Tech,M.Tech Electrical And Electronics Engineering, Ghaziabad, Uttar Pradesh,3.8,274,500,2025,"₹ 2,30,512","5,41,000","30,00,000","AICTE, NBA "
241,Haldia Institute of Technology,M.Tech,M.Tech Biotechnology, Haldia, West Bengal,3.9,275,500,2025,"₹ 2,23,600","5,00,000","45,00,000","AICTE, UGC, NBA "
242,Siddaganga Institute of Technology,M.Tech,M.Tech Computer Science And Engineering, Tumkur, Karnataka,3.9,277,500,2025,"₹ 1,15,500","9,00,000","32,88,000","AICTE, NBA "
243,KJ Somaiya Institute of Engineering and Information Technology,M.Tech,M.E Artificial Intelligence, Mumbai, Maharashtra,4,278,500,2025,"₹ 1,24,000","6,00,000","17,50,000",AICTE 
244,Swami Vivekanand Institute of Engineering & Technology,M.Tech,M.Tech Civil Engineering, Chandigarh, Chandigarh,4,279,500,2025,"₹ 1,20,000","6,50,000","60,00,000","AICTE, PCI "
245,Chandubhai S Patel Institute of Technology,M.Tech,M.Tech Electronics And Communication Engineering, Anand, Gujarat,4.1,280,500,2025,"₹ 3,18,000",,,AICTE 
246,National Institute of Electronics and Information Technology,M.Tech,M.Tech Electronics Design And Technology, Aurangabad, Maharashtra,3.8,281,500,2025,"₹ 2,60,000",,,AICTE 
247,Rajiv Gandhi Proudyogiki Vishwavidyalaya,M.Tech,M.Tech Industrial Safety, Bhopal, Madhya Pradesh,3.6,251,300,2022,,"3,50,000","18,00,000",
248,Manipal Institute of Technology Bengaluru,M.Tech,M.Tech Vlsi Design, Bangalore, Karnataka,4.2,284,500,2025,"₹ 4,46,000","10,49,000","57,00,000","AICTE, MHRD "
249,Techno Main Salt Lake,M.Tech,M.Tech Food Technology, Kolkata, West Bengal,3.9,285,500,2025,"₹ 10,92,000","7,50,000","29,00,000","AICTE, COA, PCI, INC, BCI "
250,Chennai Institute of Technology,M.Tech,ME Computer Science And Engineering, Chennai, Tamil Nadu,4.2,239,500,2025,"₹ 60,000","7,00,000","60,00,000","AICTE, NBA "
